PersonId,AttributeKey,AttributeValue
3747,IndAnniversary,2012-06-09T00:00:00.0000000
20424,MembershipDate,2012-12-09T00:00:00.0000000
20424,IndCampus,Sojourn Midtown
20424,IndBaptized,Baptized
20424,IndLimitAccessUser,1
20424,IndFamPosition,Spouse
20424,IndAnniversary,2012-06-09T00:00:00.0000000
3749,MembershipDate,2007-10-03T00:00:00.0000000
3749,IndCampus,Sojourn New Albany
3749,IndSpiritualMaturity,Stable
3749,IndBaptized,Baptized
3749,IndFamPosition,Primary Contact
3749,IndReasonLeft,Transferred - Letter
3750,MembershipDate,2007-10-03T00:00:00.0000000
3750,IndCampus,Sojourn New Albany
3750,IndSpiritualMaturity,Stable
3750,IndBaptized,Baptized
3750,IndFamPosition,Spouse
3751,IndCampus,Sojourn New Albany
3751,IndLimitAccessUser,1
3751,IndFamPosition,Child
3752,IndCampus,Sojourn Midtown
3752,IndFamPosition,Primary Contact
3753,IndCampus,Sojourn Midtown
3753,IndFamPosition,Primary Contact
3754,IndCampus,Sojourn Midtown
3754,IndLimitAccessUser,1
3754,IndFamPosition,Child
3755,MembershipDate,2008-10-10T00:00:00.0000000
3755,IndCampus,Sojourn New Albany
3755,IndBaptized,Baptized
3755,IndFamPosition,Primary Contact
3755,IndReasonLeft,Transferred - Letter
3756,MembershipDate,2010-03-22T00:00:00.0000000
3756,IndCampus,Sojourn Midtown
3756,IndBaptized,Baptized
3756,IndFamPosition,Spouse
3756,IndReasonLeft,Transferred - Letter
3757,IndCampus,Sojourn Midtown
3757,IndLimitAccessUser,1
3757,IndFamPosition,Child
3758,IndCampus,Sojourn Midtown
3758,IndFamPosition,Primary Contact
3759,IndCampus,Sojourn Midtown
3759,IndFamPosition,Spouse
3760,IndCampus,Sojourn Midtown
3760,IndFamPosition,Child
3761,IndCampus,Sojourn Midtown
3761,IndFamPosition,Child
3762,IndCampus,Sojourn Midtown
3762,IndFamPosition,Primary Contact
3763,IndCampus,Sojourn Midtown
3763,IndFamPosition,Child
3764,IndCampus,Sojourn Midtown
3764,IndBaptized,Baptized
3764,IndFamPosition,Primary Contact
3765,IndCampus,Sojourn Midtown
3765,IndFamPosition,Spouse
3766,IndCampus,Sojourn Midtown
3766,IndFamPosition,Child
3767,IndCampus,Sojourn Midtown
3767,IndFamPosition,Child
3768,IndCampus,Sojourn Midtown
3768,IndFamPosition,Primary Contact
3769,IndCampus,Sojourn Midtown
3769,IndFamPosition,Spouse
3770,IndCampus,Sojourn Midtown
3770,IndFamPosition,Child
3771,IndCampus,Sojourn Midtown
3771,IndFamPosition,Child
3772,IndCampus,Sojourn Midtown
3772,IndFamPosition,Primary Contact
3774,IndCampus,Sojourn Midtown
3774,IndFamPosition,Spouse
3775,IndCampus,Sojourn Midtown
3775,IndLimitAccessUser,1
3775,IndFamPosition,Child
3776,IndCampus,Sojourn Midtown
3776,IndFamPosition,Child
3773,MembershipDate,2003-10-29T00:00:00.0000000
3773,IndCampus,Sojourn Midtown
3773,IndSpiritualMaturity,Stable
3773,IndBaptized,Baptized
3773,IndFamPosition,Primary Contact
3777,IndCampus,Sojourn Midtown
3777,IndFamPosition,Primary Contact
3778,IndCampus,Sojourn Midtown
3778,IndFamPosition,Spouse
3779,IndCampus,Sojourn Midtown
3779,IndFamPosition,Child
3780,IndCampus,Sojourn Midtown
3780,IndFamPosition,Primary Contact
3781,IndCampus,Sojourn Midtown
3781,IndFamPosition,Spouse
3782,MembershipDate,2008-07-10T00:00:00.0000000
3782,IndCampus,Sojourn New Albany
3782,IndBaptized,Baptized
3782,IndFamPosition,Primary Contact
3783,MembershipDate,2008-07-10T00:00:00.0000000
3783,IndCampus,Sojourn New Albany
3783,IndBaptized,Baptized
3783,IndFamPosition,Spouse
3784,IndCampus,Sojourn Midtown
3784,IndFamPosition,Child
3785,IndCampus,Sojourn Midtown
3785,IndFamPosition,Child
3786,IndCampus,Sojourn Midtown
3786,IndFamPosition,Primary Contact
3787,IndCampus,Sojourn Midtown
3787,IndFamPosition,Spouse
3788,IndAllergies,none
3788,IndCampus,Sojourn Midtown
3788,IndFamPosition,Child
3789,IndCampus,Sojourn Midtown
3789,IndLimitAccessUser,1
3789,IndFamPosition,Child
3790,IndCampus,Sojourn Midtown
3790,IndFamPosition,Primary Contact
3791,IndCampus,Sojourn Midtown
3791,IndFamPosition,Spouse
3792,IndAllergies,none
3792,IndCampus,Sojourn Midtown
3792,IndLimitAccessUser,1
3792,IndFamPosition,Child
3793,IndAllergies,none
3793,IndCampus,Sojourn Midtown
3793,IndFamPosition,Child
3794,IndCampus,Sojourn Midtown
3794,IndFamPosition,Primary Contact
3795,IndCampus,Sojourn Midtown
3795,IndFamPosition,Spouse
3796,IndCampus,Sojourn Midtown
3796,IndFamPosition,Child
3797,IndCampus,Sojourn Midtown
3797,IndFamPosition,Child
3798,IndCampus,Sojourn Midtown
3798,IndFamPosition,Primary Contact
3799,IndCampus,Sojourn Midtown
3799,IndFamPosition,Spouse
3800,IndCampus,Sojourn Midtown
3800,IndFamPosition,Child
3801,IndCampus,Sojourn Midtown
3801,IndFamPosition,Child
3802,IndCampus,Sojourn Midtown
3802,IndFamPosition,Child
3803,MembershipDate,2010-03-18T00:00:00.0000000
3803,IndCampus,Sojourn Midtown
3803,IndBaptized,Baptized
3803,IndFamPosition,Primary Contact
3804,IndCampus,Sojourn Midtown
3804,IndLimitAccessUser,1
3804,IndFamPosition,Spouse
3805,IndCampus,Sojourn Midtown
3805,IndLimitAccessUser,1
3805,IndFamPosition,Child
3806,IndCampus,Sojourn Midtown
3806,IndLimitAccessUser,1
3806,IndFamPosition,Child
3807,IndCampus,Sojourn Midtown
3807,IndFamPosition,Child
3808,IndAllergies,Feveral Seizures if
3808,IndCampus,Sojourn Midtown
3808,IndLimitAccessUser,1
3808,IndFamPosition,Child
3809,IndCampus,Sojourn Midtown
3809,IndLimitAccessUser,1
3809,IndFamPosition,Child
3810,IndCampus,Sojourn Midtown
3810,IndLimitAccessUser,1
3810,IndFamPosition,Other
3811,IndCampus,Sojourn Midtown
3811,IndLimitAccessUser,1
3811,IndFamPosition,Other
3812,IndCampus,Sojourn Midtown
3812,IndFamPosition,Primary Contact
3813,MembershipDate,2005-09-01T00:00:00.0000000
3813,IndCampus,Sojourn Midtown
3813,IndAgeBracket,25 - 34
3813,IndBaptized,Baptized
3813,IndLimitAccessUser,1
3813,IndFamPosition,Primary Contact
3813,IndReasonLeft,Moved Out of Town
3813,IndAnniversary,2003-05-17T00:00:00.0000000
3815,MembershipDate,2005-09-01T00:00:00.0000000
3815,IndCampus,Sojourn Midtown
3815,IndBaptized,Baptized
3815,IndLimitAccessUser,1
3815,IndFamPosition,Spouse
