Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
233,2418,81,5/7/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Weekly,2600
234,2455,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,25
769,2455,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,3300
962,2571,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Yearly,37500
60,2581,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,9000
61,2581,90,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,9600
867,2608,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,6000
236,2703,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Yearly,10000
237,2731,81,5/6/2006 12:00:00 AM,5/6/2011 12:00:00 AM,Monthly,1800
238,2731,81,5/6/2006 12:00:00 AM,5/6/2011 12:00:00 AM,Monthly,1800
239,2735,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,10500
240,2737,81,5/14/2006 12:00:00 AM,5/8/2011 12:00:00 AM,Weekly,7800
242,2740,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,1500
243,2747,81,4/30/2006 12:00:00 AM,4/30/2006 12:00:00 AM,OneTime,50
245,2748,2,5/30/2010 12:00:00 AM,5/24/2015 12:00:00 AM,Weekly,5200
244,2748,81,5/1/2006 12:00:00 AM,4/25/2011 12:00:00 AM,Weekly,3900
246,2750,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,1300
247,2751,81,5/6/2006 12:00:00 AM,5/6/2007 12:00:00 AM,Monthly,600
248,2753,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,2600
249,2756,81,11/18/2007 12:00:00 AM,11/11/2012 12:00:00 AM,Weekly,6500
250,2756,90,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,6000
251,2779,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,9000
252,2799,92,5/10/2010 12:00:00 AM,5/9/2011 12:00:00 AM,Weekly,1040
253,2812,81,12/1/2007 12:00:00 AM,12/1/2012 12:00:00 AM,Monthly,4500
254,2812,89,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,6000
1157,2812,127,5/15/2016 12:00:00 AM,5/5/2019 12:00:00 AM,Monthly,1800
256,2826,2,5/1/2010 12:00:00 AM,4/27/2013 12:00:00 AM,Weekly,2340
255,2826,81,12/1/2007 12:00:00 AM,11/24/2012 12:00:00 AM,Weekly,3900
257,2831,2,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Yearly,2000
1057,2831,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Yearly,3000
258,2844,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,6499.8
259,2855,81,11/18/2007 12:00:00 AM,11/18/2012 12:00:00 AM,Monthly,1200
260,2857,81,9/3/2006 12:00:00 AM,9/3/2011 12:00:00 AM,Monthly,6000
261,2861,81,11/18/2007 12:00:00 AM,7/18/2009 12:00:00 AM,Monthly,1000
